uid,c1,c2,c3,c4,c5
https://educacao.uol.com.br/bancoderedacoes/redacoes/conflito-entre-liberdade-de-expressao-e-intimidade-bom-senso-e-necessario.htm,1.0,1.0,1.0,1.0,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm,1.0,2.0,1.5,1.0,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm,0.5,0.5,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/privilegio-a-informacao.htm,1.0,1.0,0.5,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/limites-entre-direitos.htm,1.0,1.0,1.0,1.0,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-em-conflito.htm,1.5,1.5,1.5,1.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/o-conflito-entre-a-liberdade-de-expressao-e-o-direito-a-privacidade.htm,0.5,0.5,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-em-conflito-liberdade-de-expressao-e-intimidade.htm,1.0,1.5,0.5,1.0,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-de-expressao-e-intimidadelimites-pessoais.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/a-intimidade-supera-a-liberdade-de-expressao.htm,1.0,1.0,1.0,0.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-vinculados-a-a-lei.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/mais-clareza-por-favor.htm,1.5,1.5,1.0,1.0,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/constituicao-bilateral.htm,1.0,1.5,1.0,1.0,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-liberdade.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-de-expressao-ou-violacao-da-privacidade.htm,1.0,1.0,0.5,1.0,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/o-direito-e-seu-fato-gerador.htm,1.5,1.5,1.0,1.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-com-responsabilidade.htm,1.5,2.0,1.5,1.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/os-limites-da-informacao.htm,0.5,1.0,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-em-conflitos.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-imprensa.htm,0.5,0.5,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/filosofia-de-socrates-e-sua-relacao-com-o-mundo-atual.htm,0.5,0.5,0.0,0.0,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-seja-mais-um.htm,0.5,0.5,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/maldade-na-alma.htm,1.0,1.0,0.0,0.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/um-dilema-de-acordo-com-a-perspectiva.htm,1.5,1.5,1.5,1.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/praticar-ou-sofrer-injustica.htm,0.5,0.5,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/o-poder-da-escolha.htm,1.0,1.0,0.5,0.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/ser-injusticado-a-melhor-forma-de-se-sobressair.htm,1.0,1.5,0.5,1.0,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-sofrer-uma-injustica.htm,1.0,1.0,0.5,0.5,0.5
https://educacao.uol.com.br/bancoderedacoes/redacoes/injustica-ou-apenas-compreensao.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/desde-o-tempo-de-socrates.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-pratica-e-sofrencia.htm,0.5,0.5,0.5,0.5,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/o-homem-nasce-justo-a-injustica-o-corrompe.htm,1.0,1.0,0.5,0.5,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-e-o-estado-democratico-de-direito.htm,2.0,1.0,2.0,2.0,1.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-uma-cura-moral.htm,0.5,0.5,0.5,0.5,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-existe-o-melhor.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/governo-sem-virtude.htm,0.0,0.0,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/eu-juiz.htm,0.5,0.5,0.0,0.0,0.0
https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-praticar-ou-sofrer-uma-injustica.htm,1.0,1.0,0.5,0.5,1.0
